text_new,actual_label,predicted_label
Pemberitaan mengenai PT Dirgantara Indonesia Persero dijual ke pihak asing kami nyatakan HOAX Berita ini adalah berita bohong yang berulang dari tahun 2017 lalu tulis akun officialptdi Kamis 35,FAKE,FAKE
1 Kecurangan di pilpres di Australia Ternyata KETUA KPPS SYDNEY Samsul Bahri sudah jadi Australian citizen Dan dia ngurusin Pemilu Indonesia Udah gitu pro02 Caracara kotor mulai mereka lakukan bahkan banyak yang kehilangan hak pilihnya di Australia ulah orangorang dari 02 2 Kecurangan pencoblosan di Australia Ternyata KETUA KPPS SYDNEY Samsul Bahri sudah jadi Australian citizen Ngurusin Pemilu Indonesia dan berpihak kepada 02 karena konon kabarnya dia salah satu SimpatisanKader PKS Ga Tahu bener atau ngga dia PKS yg gw tahu kebenarannya adalah IndonesiaDamaiTanpaPKS 3 Udh mulai lagi nih kubu 02 berbuat curang di KBRI 4 Kecurangan di pilpres 2019 di Australia Ternyata KETUA KPPS SYDNEY Samsul Bahri dia ngurusin Pemilu Indonesia Udah gitu pro 02 Caracara kotor mulai mereka lakukan bahkan banyak yang kehilangan hak pilihnya di Australia ulah orangorang dari 02 Penjelasan Sebuah video beredar tentang kericuhan pencoblosan Pemilu 2019 di Sydney Australia Dalam video tersebut tampak seorang pria yang tengah memprotes disebutkan dalam narasi video bernama Samsul Bahri Adapun dalam narasi postingan disebutkan bahwa Samsul Bahri tersebut merupakan Ketua Kelompok Penyelenggara Pemungutan Suara Luar Negeri KPPSLN Atas beredarnya video dengan narasi Samsul Bahri sebagai Ketua KPPSLN Sydney Komisi Pemilihan Umum KPU angkat bicara Komisioner Komisi Pemilihan Umum KPU Ilham Saputra membantah bahwa nama Samsul Bahri sebagai Ketua KPPSLN Di hoaks itu muncul bahwa seakanakan Samsul Bahri anggota KPPSLN di kita enggak ada yang namanya Samsul Bahri ungkap Ilham Ia pun menambahkan nama tersebut pun tidak tercantum sebagai anggota KPPSLN di manapun Senada dengan Ilham Komisioner KPU Pramono Ubaid Tanthowi juga menyatakan bahwa nama Samsul Bahri tidak ada dalam Surat Keputusan SK Panitia Pemilihan Luar Negeri PPLN maupun SK KPPS Kami sudah cek SK PPLN maupun SK KPPS luar negeri tidak ada nama tersebut ujar Pramono Selain pihak komisioner KPU bantahan perihal Samsul Bahri sebagai Ketua KPPSLN di Sidney Australia juga disampaikan oleh Anggota Sekretariat PPLN Sydney Hermanus Dimara Ia menegaskan memang ada Warga Negara Asing WNA dalam TPS di KJRI bernama Samsul Bahri tapi dia bukan Ketua KPPSLN melainkan hanya pendukung salah satu pasangan calon Itu WNA eks WNI yang diviralkan sebagai ketua KPPSLN padahal tidak Beliau bukan WNI jadi tidak bisa jadi KPPSLN Panwaslu atau pun saksi kata Hermanus Referensi httpswwwfacebookcomgroupsfafhhpermalink874186689580534 httpsnasionalkompascomread2019041507101421kpubantahsoalkabarsamsulbahriwnayangdisebutmenguruspencoblosandi httpsnewsdetikcomberitad4510632penjelasankpuhinggapplnsydneysoalkisruhpencoblosansingle 1 httpsnewsdetikcomberitad4510325tepisisukpuungkapsebabtpssydneytutupsaatadawnibelumnyoblos httpskumparancomkumparannewspplnbantahvideotuduhankecuranganditpskjrisydney1qtHnHcpGyzref relmedia,FAKE,FAKE
DUNIA KAGET  INDONESIA UJI COBA PELURU KENDALI BERTENAGA NUKLIR KARYA ANAK BANGSA,FAKE,FAKE
Herry Wirawan pemerkosa 21 santriwati babak belur di dalam rutan PenjelasanBeredar sebuah informasi di media sosial Facebook yang menunjukkan foto Herry Wirawan pelaku pemerkosa 21 santriwati babak belur Luka lebam dalam foto tersebut diklaim sebagai luka lebam akibat babak belur di dalam rutan Diketahui saat ini Herry Wirawan ditahan di Rutan Kelas 1A Kebon Waru Bandung Setelah ditelusuri klaim tersebut salah Faktanya tidak ada informasi yang valid terkait pemberitaan Herry Wirawan telah babak belur dalam hutan Selain itu melalui Kompas Riko Kepala Rutan Kelas 1A Kebon Waru Bandung telah mengonfirmasi bahwa informasi tersebut merupakan kabar bohong dan membantah keaslian foto babak belur yang beredar Saya dengar informasi ada foto viral lebamlebam saya selaku kepala rutan pastikan kondisi beliau sehat Ujar Riko Dengan demikian klaim pemerkosa 21 santriwati babak belur dalam Rutan merupakan informasi yang tidak benar dan termasuk ke dalam kategori Konten Palsu Referensihttpswwwkompascomtrenread20211215153000165hoaksfototersangkapemerkosaanherrywirawanbabakbelurpage allhttpswwwkompastvarticle240721keanehanpesantrenmilikherrywirawangurucumasatuhinggatakadaijazahbagisantriyanglulushttpswwwyoutubecomwatchv G44R4ADabKA Editor Bentang Febrylian,FAKE,FAKE
Ada yang pernah dikejar buaya Follow faktamedia dan temukan informasi unik menarik dari seluruh dunia faktamedia Narasi dalam gambar Buaya memang pandai berlari namun buaya tidak pandai untuk berbelok jadi semisal kalian dikejar buaya  jangan lari lurus rapi larilah secara Zig Zag ,FAKE,FAKE
When the Physics teacher gets bored Ketika guru Fisika sedang bosan,FAKE,FAKE
Munarman Sayangkan Teroris Ditembak Mati Presiden Jokowi Tidak Ada Tempat Bagi Teroris di Tanah Air IngatSelama Saya Masih Presiden RI Saya Habisi Penjelasan Beredar postingan gambar dengan tulisan Munarman Sayangkan Teroris Ditembak Mati Presiden Jokowi Tidak Ada Tempat Bagi Teroris di Tanah Air IngatSelama Saya Masih Presiden RI Saya Habisi Berdasarkan hasil penelusuran diketahui bahwa gambar tersebut hasil suntingan dari artikel yang tayang di terkiniid pada 1 April 2021 dengan judul Munarman Sayangkan Teroris Ditembak Mati Presiden Jokowi Tidak Ada Tempat Bagi Teroris di Tanah Air Artikel itu membahas mengenai pernyataan Munarman mantan Juru Bicara Front Pembela Islam FPI dan juga Presiden Joko Widodo terkait aksi terorisme yang menyerang Mabes Polri Dalam artikel itu tidak ditemukan kutipan pernyataan Presiden Joko Widodo seperti pada gambar sumber Berikut cuplikan artikelnya   Terkiniid Jakarta Penembakan mati teroris ZA yang menyerang Mabes Polri di Jakarta pada Rabu sore kemarin menuai pro dan kontra Beberapa beranggapan bahwa menembak mati sang teroris merupakan keputusan yang disayangkan Salah satunya yang menganggap demikian adalah Munarman mantan juru bicara Front Pembela Islam FPI Menyoroti pihak polisi yang menembak mati teroris ZA Munarman menyebut bahwasanya harga nyawa di Indonesia terlalu murah Menurutnya pihak kepolisian seharusnya bisa melumpuhkan teroris ZA tanpa harus melakukan tembak mati terlebih pelaku adalah seorang perempuan Apalagi kan ini perempuan Bisa dilakukan penembakan pelumpuhan itu pada kaki Katakanlah pada tangan katakanlah dia pemegang senjata bisa di bagian tangannya tutur Munarman dalam kanal YouTube Refly Harun pada Kamis 1 April 2021 dikutip terkiniid dari Tribunnews Di sisi lain Presiden Joko Widodo alias Jokowi justru berkata sebaliknya terkait aksi terorisme yang terjadi di Mabes Polri pada Rabu sore kemarin 31 Maret 2021 Presiden Republik Indonesia itu menegaskan bahwasanya tak ada tempat bagi terorisme di Indonesia Saya tegaskan sekali lagi tidak ada tempat bagi terorisme di Tanah Air tegas Presiden Jokowi melalui tayangan video di kanal YouTube Sekretariat Presiden pada Kamis 1 April 2021 Presiden Jokowi meminta kepada segenap masyarakat Indonesia untuk tetap tenang menyikapi peristiwa ini tetapi juga waspada Saya minta kepada seluruh masyarakat di seluruh Tanah Air agar semuanya tetap tenang tapi juga waspada Presiden Jokowi mengaku telah memerintahkan Kapolri Panglima TNI dan Kepala Badan Intelijen Negara BIN untuk meningkatkan kewaspadaan Kita semuanya bersatu melawan terorisme pungkas Presiden Jokowi   Berdasarkan penjelasan tersebut maka konten pada sumber masuk ke dalam kategori Konten yang Dimanipulasi Referensi httpsterkiniidreadtd244079munarmansayangkanterorisditembakmatipresidenjokowitidakadatempatbagiterorisditanahair,FAKE,FAKE
Sudah melakukan vaksinasi COVID19 Masukan ponsel dengan pencarian namaLindungi diri dan sekitar dengan berpartisipasi dalam program Vaksinasi COVID19PENDAFTARAN VAKSINASI Periksa Status Anda Dalam Program Vaksinasi COVID19PonselNama LengkapAlamat rumah anda,FAKE,FAKE
Hidup makin blangsak listrik malah BBM mahal sembako mahal jantung pun minta ring nya di tambah kucuran dana di bayar cicil dimanakah perasaan mu bantulaj kami pak kami bertalang nyawa buat bapak kelurga pun jadi korban di maki2 orang bantulah kami pak,FAKE,FAKE
Trus tadi barusan ada kiriman berita dari grup whatsapp mama ada pembuatan gula merah palsu di Banyumas Gulanya dicampur pake bahan kimia sama kecap manis bekas Kagetttt bangett dongg kemarin yang dikonsumsi gulaa palsu dongg mana itu mereka udah produksi dari 6 bulan yang lalu udah diedarin ke seluruh banyumas sampe ke lampung juga katanya,FAKE,FAKE
